UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Merced,Evergreen Valley College,CSE 022,CIT 020 (3.00),CIT 044 (3.00),COMSC 041 (3.00),COMSC 075 (3.00),ENGR 050 (4.00)
University of California Merced,Evergreen Valley College,CSE 024,Not Articulated,,,,
University of California Merced,Evergreen Valley College,CSE 030,COMSC 042 (3.00),COMSC 076 (3.00),,,
University of California Merced,Evergreen Valley College,CSE 031,COMSC 077 (3.00),,,,
University of California Merced,Evergreen Valley College,ENGR 065,ENGR 071 (4.00),,,,
University of California Merced,Evergreen Valley College,ENGR 091,Not Articulated,,,,
University of California Merced,Evergreen Valley College,MATH 032,Not Articulated,,,,
University of California Merced,Evergreen Valley College,ENGR 080,Not Articulated,,,,
University of California Merced,Evergreen Valley College,WRI 001,ENGL 001A (3.00),,,,
University of California Merced,Evergreen Valley College,WRI 010,ENGL 001B (3.00),ENGL 001C (3.00),,,
University of California Riverside,Evergreen Valley College,CS 10A,COMSC 075 (3.00),CIT 020 (3.00),ENGR 050 (4.00),,
